time mi_pulso
9.553846153846e-09 1.019127620662e-04
9.569230769231e-09 5.357171785385e-05
9.584615384615e-09 -4.733335470750e-06
9.600000000000e-09 -5.324296393964e-05
9.615384615385e-09 -7.807618616996e-05
9.630769230769e-09 -7.492186190009e-05
9.646153846154e-09 -4.907810833261e-05
9.661538461538e-09 -1.231426234904e-05
9.676923076923e-09 2.195730436352e-05
9.692307692308e-09 4.333648055665e-05
9.707692307692e-09 4.736887594796e-05
9.723076923077e-09 3.601744859577e-05
9.738461538462e-09 1.588987700574e-05
9.753846153846e-09 -4.811780417649e-06
9.769230769231e-09 -1.935124646144e-05
9.784615384615e-09 -2.445453107100e-05
9.800000000000e-09 -2.072154447402e-05
9.815384615385e-09 -1.159015385422e-05
9.830769230769e-09 -1.496551706144e-06
9.846153846154e-09 5.937462051641e-06
9.861538461538e-09 9.017264695261e-06
9.876923076923e-09 8.106198122450e-06
9.892307692308e-09 4.929409313229e-06
9.907692307692e-09 1.508213663805e-06
9.923076923077e-09 -7.528906124311e-07
9.938461538462e-09 -1.469895849335e-06
9.953846153846e-09 -1.109603248949e-06
9.969230769231e-09 -4.572672729234e-07
9.984615384615e-09 -6.812356210197e-08
1.000000000000e-08 -0.000000000000e+00
1.001540666561e-08 0.000000000000e+00
